index,Part,Nest,CutWidthAve,CutWidthHigh,CutWidthLow,Flatness,GDT_Data.FrontSurfacePt1,GDT_Data.FrontSurfacePt2,Sides_Parallelism123213,GDT_Data.PartNumber,Side1ToFront_Perpendicularity,Side1ToTop_Perpendicularity,GDT_Data.Side1_Pt1,GDT_Data.Side1_Pt2,GDT_Data.Side1_Pt3,GDT_Data.Side1_Pt4,GDT_Data.Side1_X_Angle,GDT_Data.Side1_Y_Angle,Side2ToFront_Perpendicularity,Side2ToTop_Perpendicularity,GDT_Data.Side2_Pt1,GDT_Data.Side2_Pt2,GDT_Data.Side2_Pt3,GDT_Data.Side2_Pt4,GDT_Data.Side2_X_Angle,GDT_Data.Side2_Y_Angle,Sides_Parallelism,GDT_Data.Spare[0],GDT_Data.Spare[10],GDT_Data.Spare[11],GDT_Data.Spare[12],GDT_Data.Spare[13],GDT_Data.Spare[14],GDT_Data.Spare[15],GDT_Data.Spare[16],GDT_Data.Spare[17],GDT_Data.Spare[18],GDT_Data.Spare[19],GDT_Data.Spare[1],GDT_Data.Spare[2],GDT_Data.Spare[3],GDT_Data.Spare[4],GDT_Data.Spare[5],GDT_Data.Spare[6],GDT_Data.Spare[7],GDT_Data.Spare[8],GDT_Data.Spare[9],GDT_Data.TopSurfacePt1,GDT_Data.TopSurfacePt2,GDT_Data.TopSurfacePt3,GDT_Data.TopSurfacePt4,GDT_Data.TopSurfacePt5,GDT_Data.TopSurfacePt6,GDT_Data.TopSurfacePt7,GDT_Data.TopSurface_X_Angle,HydroMES.AxialNonUniformityGrade,HydroMES.AxialNonUniformityRating,HydroMES.CTLStatus,HydroMES.CellContrastGrade,HydroMES.CellContrastRating,HydroMES.CellModulationGrade,HydroMES.CellModulationRating,HydroMES.DataMatrix_Code,HydroMES.Date,HydroMES.Feature101Data,HydroMES.Feature22DataHigh,HydroMES.Feature22DataLow,HydroMES.Feature91Data,HydroMES.Feature93Data,HydroMES.Feature94Data,HydroMES.Feature95Data,HydroMES.Feature99Data,HydroMES.FixedPatternDamageGrade,HydroMES.FixedPatternDamageRating,HydroMES.FlatnessStatus,HydroMES.GridNonUniformityGrade,HydroMES.GridNonUniformityRating,HydroMES.JobNumber,HydroMES.JobNumberTrimmed,HydroMES.OperatingCrew,HydroMES.OperatorID,HydroMES.OverallDimStatus,HydroMES.ParallelismStatus,HydroMES.PartMarkingStatus,HydroMES.PerpendicularityStatus,HydroMES.ReferenceDecodeGrade,HydroMES.ReferenceDecodeRating,HydroMES.SerialNumber,HydroMES.SupplierCode,HydroMES.Time,HydroMES.Type,HydroMES.UnusedErrorCorrectionGrade,HydroMES.UnusedErrorCorrectionRating,Model.CutWidth_HighLimit,Model.CutWidth_LowLimit,Model.Flatness_HighLimit,Model.Flatness_LowLimit,Model.Height,Model.Length,Model.Name,Model.Parellelism_HighLimit,Model.Parellelism_LowLimit,Model.SideToFrontPerp_HighLimit,Model.SideToFrontPerp_LowLimit,Model.SideToTopPerp_HighLimit,Model.SideToTopPerp_LowLimit,Model.TypeCode,Model.Width,RejectCode,Status
30,1,1,118.127243,118.148613,118.1107025,0.05071031,-4.548999786,-4.472000122,0.054466102,R47,0.074369743,0.00357642,1.457058549,1.471741557,1.266358972,1.31060946,-0.035921708,-0.093326174,0.063847274,0.014975512,0.83046174,0.887652993,0.981296599,1.058616877,-0.0819887,-0.085359707,0.021328308,0.05473993,2.537742853,2.434928179,2.355664968,2.322736979,2.216233253,2.517139673,2.470464945,0.212564692,0.296090633,0.194419861,100.668335,0,0,0.061625782,0.115361601,-0.080151901,0.051440191,0.075532027,0.068556897,-34.49816513,-27.78459549,0.027794361,-16.28723907,-33.37583923,24.56893921,33.17016983,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.00357642,118.148613,118.1107025,0.021328308,0.074369743,0.067668334,0.063847274,0.014975512,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,781,6,24:09.6,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
60,1,1,118.130249,118.1498566,118.1187592,0.05076125,-4.572999954,-4.492000103,0.057295658,R47,0.077426918,0.00316785,1.490454674,1.483096123,1.29575181,1.322814107,-0.012010016,-0.094162583,0.063217454,0.011585817,0.819794834,0.855502903,0.977146149,1.031306744,-0.054777592,-0.088372074,0.020483643,0.031815019,2.550225496,2.488073826,2.318693399,2.316469193,2.225978851,2.508679628,2.493708134,0.214469761,0.301905483,0.201280996,91.47835541,0,0,0.037498839,0.138666093,-0.081494145,0.028892241,0.075255506,0.042504527,-29.17555618,-27.17649651,-1.255416393,-17.71929741,-33.9909668,14.09827805,29.30279922,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.00316785,118.1498566,118.1187592,0.020483643,0.077426918,0.063293763,0.063217454,0.011585817,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,801,6,33:35.9,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
90,1,1,118.1246109,118.1457901,118.1080093,0.0540684,-4.596000195,-4.501999855,0.066491611,R47,0.08860942,2.50E-05,1.470419288,1.484106302,1.269773245,1.316011071,-0.036525957,-0.097811565,0.069935486,0.014814006,0.821361184,0.871466696,0.973198414,1.046974301,-0.075509332,-0.086830847,0.023820834,0.05187992,2.546598673,2.450476408,2.343223333,2.310869694,2.208421469,2.514507532,2.473908663,0.222780854,0.329568624,0.19777061,103.1329498,0,0,0.058248293,0.127404898,-0.086403802,0.051902946,0.078205042,0.065547876,-37.43040466,-24.76502991,-0.702288389,-21.22649765,-30.3688488,18.44932556,32.70254517,0,,0,1,,0,,0,4.70654E+15,1/29/2025,2.50E-05,118.1457901,118.1080093,0.023820834,0.08860942,0.070132948,0.069935486,0.014814006,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,822,6,39:16.3,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
120,1,1,118.1274261,118.144104,118.1142578,0.06325837,-4.598999977,-4.505000114,0.066491276,R47,0.079807498,0.00279396,1.463744283,1.474045873,1.266750097,1.313457251,-0.034748513,-0.094851695,0.078553602,0.01692217,0.823912501,0.87645781,0.987056553,1.059120178,-0.075952783,-0.09172792,0.019755963,0.052971564,2.559002876,2.454902411,2.328646421,2.297150373,2.192121506,2.502254009,2.45804143,0.216039315,0.338185996,0.208924428,88.17129517,0,0,0.060938895,0.13843441,-0.082539335,0.050393753,0.081988811,0.068584591,-29.00704575,-17.13188362,1.979140282,-17.38025475,-22.01950264,11.59347343,26.16424561,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.00279396,118.144104,118.1142578,0.019755963,0.079807498,0.055171292,0.078553602,0.01692217,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,843,6,44:56.5,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
150,1,1,118.1312256,118.1456223,118.1168289,0.06572295,-4.618999958,-4.518000126,0.071442723,R47,0.073796012,0.004129171,1.469840527,1.478060246,1.278564692,1.323660493,-0.032497384,-0.091693215,0.077075727,0.014988655,0.822475255,0.871881187,0.981993139,1.053293347,-0.073573925,-0.090434432,0.019397108,0.050394531,2.552760601,2.463012695,2.327111006,2.297294378,2.190891743,2.502556324,2.459900141,0.208845392,0.347985744,0.205978319,88.1202774,0,0,0.057371814,0.139613494,-0.079900004,0.046584804,0.081339955,0.064223625,-28.50677109,-12.22196007,4.559188366,-16.52449417,-27.63744164,16.02237701,26.61351013,0,,0,1,,0,,0,4.70654E+15,1/29/2025,0.004129171,118.1456223,118.1168289,0.019397108,0.073796012,0.055120282,0.077075727,0.014988655,,0,1,,0,25410076,5410076,A,,1,1,0,1,,0,863,6,49:15.0,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,0,0
31,2,1,118.0370712,118.1049271,117.9664307,0.07100608,-4.534999847,-4.481999874,0.037489805,R47,0.125384226,0.002242368,1.48319757,1.493814826,1.275108695,1.306647658,-0.02569546,-0.104844809,0.020240515,0.018950475,0.770380139,0.817831099,0.840989292,0.915164113,-0.074134476,-0.044548031,0.147158757,0.027363511,2.625739574,2.538271189,2.384404898,2.409666777,2.368693829,2.591090202,2.568719864,0.238800123,0.173336864,0.101465024,100.2875671,0,0,0.026566055,0.117666699,-0.102549717,0.025294619,0.038613439,0.044847928,-3.204803467,-46.72657013,-23.88645935,-15.19243717,1.164260864,28.53423309,25.56099319,0,,0,2,,0,,0,,1/29/2025,0.002242368,118.1049271,117.9664307,0.147158757,0.125384226,0.075260803,0.020240515,0.018950475,,0,1,,0,25410076,5410076,A,,2,1,0,1,,0,,6,24:13.4,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,3300,0
61,2,1,118.0415878,118.111824,117.9683609,0.07030922,-4.56400013,-4.506000042,0.041026663,R47,0.130855158,0.001416155,1.501747727,1.504523635,1.29190135,1.313166261,-0.014653591,-0.106422484,0.034000684,0.015923146,0.770126224,0.806172788,0.83639878,0.897166669,-0.059011254,-0.041716211,0.165765151,0.016426316,2.612376451,2.545243502,2.369939327,2.411123753,2.377999544,2.595497131,2.577561378,0.242393538,0.167632446,0.095015116,108.5127869,0,0,0.015864396,0.118003927,-0.104951717,0.015119718,0.032572065,0.031117605,-10.76989746,-52.9589386,-30.33592606,-16.0032692,-1.236019135,35.55385208,26.16205597,0,,0,2,,0,,0,,1/29/2025,0.001416155,118.111824,117.9683609,0.165765151,0.130855158,0.088512786,0.034000684,0.015923146,,0,1,,0,25410076,5410076,A,,2,1,0,1,,0,,6,33:39.8,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,3300,0
91,2,1,118.0450439,118.114563,117.9732971,0.07301275,-4.585999966,-4.504000187,0.05800296,R47,0.139109418,0.000807511,1.512306094,1.5122962,1.293709397,1.320361972,-0.0162395,-0.108896583,0.019500343,0.01785915,0.761588454,0.798355758,0.83414036,0.902285159,-0.063947,-0.046813112,0.159523681,0.02086672,2.612256289,2.540621996,2.358280182,2.397496223,2.354679823,2.594549179,2.571777105,0.248028651,0.22079885,0.106624089,109.5469818,0,0,0.020195747,0.126340792,-0.108575739,0.021611759,0.038938411,0.03734424,-14.34421349,-50.37127686,-29.86353683,-14.50013638,-1.053171635,39.17570496,30.84216309,0,,0,2,,0,,0,,1/29/2025,0.000807511,118.114563,117.9732971,0.159523681,0.139109418,0.089546978,0.019500343,0.01785915,,0,1,,0,25410076,5410076,A,,2,1,0,1,,0,,6,39:20.6,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,3300,0
121,2,1,118.0367355,118.1008148,117.9701843,0.074047,-4.579999924,-4.517000198,0.044563178,R47,0.132849708,0.00217546,1.501486301,1.51041019,1.28956008,1.321203351,-0.024726883,-0.106403731,0.013956369,0.018194871,0.751435161,0.795424104,0.830188334,0.902093291,-0.070640728,-0.049184799,0.148212582,0.029568683,2.621754408,2.535857916,2.35743618,2.386166096,2.342152834,2.591872931,2.566007853,0.242350817,0.195731685,0.112025976,107.8864746,0,0,0.026552692,0.131565243,-0.105827428,0.027561523,0.041372482,0.046355952,-8.774407387,-49.15427017,-29.4083786,-20.75699615,-1.759221077,36.65492249,30.73220062,0,,0,2,,0,,0,,1/29/2025,0.00217546,118.1008148,117.9701843,0.148212582,0.132849708,0.085809186,0.013956369,0.018194871,,0,1,,0,25410076,5410076,A,,2,1,0,1,,0,,6,45:00.4,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,3300,0
151,2,1,118.0480576,118.1215668,117.9734573,0.06051759,-4.59100008,-4.532999992,0.041026663,R47,0.140159607,0.000154622,1.506433964,1.516777158,1.288508177,1.31921947,-0.025023922,-0.110210277,0.023230543,0.021033484,0.764793813,0.811231911,0.835444808,0.904697776,-0.070517093,-0.04353334,0.164758235,0.028058328,2.611624718,2.520385027,2.358863831,2.390676022,2.344100714,2.582497835,2.557273865,0.251020789,0.178402558,0.099153914,110.7761154,0,0,0.027579149,0.122982852,-0.109036826,0.027915668,0.037300672,0.047464605,-10.29947948,-53.1109314,-28.21784019,-13.00447369,1.442920208,33.36235046,29.66518021,0,,0,2,,0,,0,,1/29/2025,0.000154622,118.1215668,117.9734573,0.164758235,0.140159607,0.086473279,0.023230543,0.021033484,,0,1,,0,25410076,5410076,A,,2,1,0,1,,0,,6,49:18.3,47,,0,118.5,118,0.119999997,-0.104999997,62.09999847,130.5,R47,0.300000012,-0.300000012,0.300000012,-0.300000012,0.25,-0.25,47,118,3300,0
